,GQ id,name,EAN id,Kmeans with 6cluster ,Kmeans with 5 cluster ,BinaryClustring 5 ,BinaryClustring 6 ,Hierarchical Clustering 5,Hierarchical Clustering 6 ,Hybrid Clustring 5 
0,8299,Royale Chulan Bukit Bintang,8299,2,2,5,1,1,6,1
1,370971,Best Western Petaling Jaya,370971,2,2,5,1,1,6,1
2,231229,Leo Express Hotel,231229,3,3,3,3,4,4,5
3,197199,Furama Bukit Bintang,197199,2,2,5,1,5,1,1
4,19164,Grand Millennium Kuala Lumpur,19164,2,2,5,1,5,1,2
5,217846,Citin Seacare Pudu by Compass Hospitality,217846,3,5,2,3,4,4,3
6,19118,Seri Pacific Hotel Kuala Lumpur,19118,4,4,4,4,5,1,2
7,261502,Aloft Kuala Lumpur Sentral,261502,2,2,5,1,5,1,2
8,51200,Hilton Petaling Jaya,51200,4,4,4,4,5,1,2
9,80700,ANSA Kuala Lumpur,80700,3,3,3,3,4,4,3
10,12525,JW Marriott Hotel Kuala Lumpur,12525,4,4,4,4,5,1,2
11,217827,Sunway Putra Hotel,217827,4,4,4,4,5,1,2
12,83474,Eastin Hotel Kuala Lumpur,83474,2,2,5,1,1,6,1
13,35764,Pullman KL City Centre,35764,4,4,4,4,5,5,2
14,499929,VE Hotel & Residence,499929,2,2,5,1,5,1,1
15,362161,Silka Cheras,362161,5,2,5,2,1,6,1
16,60868,Le Meridien Kuala Lumpur,60868,2,2,5,1,1,6,1
17,374209,Royale Chulan Damansara,374209,2,2,5,1,1,6,1
18,168269,Citin MasJid Jamek by Compass Hospitality,168269,3,3,3,3,4,4,3
19,77352,One World Hotel,77352,2,2,5,1,5,1,1
20,73416,Dorsett Grand Subang,73416,2,2,5,1,5,1,2
21,376160,Le Apple Boutique Hotel KLCC,376160,5,3,3,2,1,6,1
22,187510,Doubletree By Hilton Kuala Lumpur,187510,2,4,4,4,5,1,2
23,80701,Royal Kuala Lumpur,80701,5,2,5,2,1,6,1
24,29388,Melia Kuala Lumpur,29388,5,2,5,2,1,6,1
25,237844,Ibis Styles Kl Fraser Business,237844,2,2,5,1,5,1,2
26,66732,Holiday Villa Hotel and Suites Subang,66732,2,2,5,1,1,6,1
27,66657,Concorde Hotel Kuala Lumpur,66657,4,4,4,4,5,1,2
28,40392,The Westin Kuala Lumpur,40392,2,2,5,1,5,1,2
29,217831,Max Star Hotel,217831,6,5,2,5,2,2,3
30,47743,Vistana Kuala Lumpur Titiwangsa,47743,2,2,5,1,1,6,1
31,17926,Shangri-La Hotel - Kuala Lumpur,17926,4,4,4,4,5,1,2
32,14554,Corus Hotel Kuala Lumpur,14554,2,2,5,1,1,6,1
33,5385,Capitol Hotel Kuala Lumpur,5385,5,3,3,2,1,6,1
34,231238,Le Apple Boutique Hotel,231238,6,5,2,5,2,2,4
