GQ id,fifth_col,number_room,rank,year
8299.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours business shopping urban otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,400.0,4.0,1999.0
370971.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Social spaces Onsite car/limo rental Leisure/Entertainment Check-in/out business family otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,344.0,4.0,2014.0
231229.0,Guest item storage Dining Conference/Business Air-conditioning in public areas Laundry On-site shopping Front desk services Onsite parking Internet (Public areas) Transfers Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Cash services Check-in/out Offsite parking Salon Indoor games family budget otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel dinersClub mastercard visa carteBlanche discover,109.0,3.0,2012.0
197199.0,Designated smoking area Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Cash services Fireplace business shopping urban family luxury romantic otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Apartment americanExpress dinersClub jcbInternational mastercard visa creditCards,433.0,4.0,2011.0
19164.0,Designated smoking area Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Social spaces Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Ground sports facilities business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,468.0,5.0,2015.0
217846.0,Designated smoking area Guest item storage Dining Conference/Business Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Laundry Bar Connectivity/Devices On-site shopping Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Wake-up service Onsite car/limo rental Check-in/out Offsite parking business shopping urban budget otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress mastercard visa,99.0,3.5,2007.0
19118.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Check-in/out Medical service business urban family luxury spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,560.0,5.0,1985.0
261502.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Ticketing/Tours Cash services Onsite car/limo rental Check-in/out Offsite parking Salon Indoor games Sunbathing business family otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa,482.0,4.0,2013.0
51200.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Fireplace Smoking rooms available business family luxury spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,554.0,5.0,1984.0
80700.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Laundry Bar On-site shopping Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Check-in/out Offsite parking Salon Bicycles business shopping urban romantic gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa creditCards,168.0,4.0,2008.0
12525.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Cash services Wake-up service Social spaces Onsite car/limo rental Check-in/out Salon Ground sports facilities business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,578.0,5.0,2002.0
217827.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Leisure/Entertainment Check-in/out Salon business shopping urban family luxury romantic gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Aparthotel americanExpress dinersClub jcbInternational mastercard visa,650.0,5.0,1994.0
